ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"308.21510"	"5.87e+07"	B+	"0.0000000"	"4.0214836"	2	4		
"309.27084"	"7.29e+07"	B+	"0.0138938"	"4.0216502"	4	6		
"309.28369"	"1.16e+07"	B	"0.0138938"	"4.0214836"	4	4		
"394.40060"	"4.99e+07"	B+	"0.0000000"	"3.1427212"	2	2		
"396.15201"	"9.85e+07"	B+	"0.0138938"	"3.1427212"	4	2		
"555.7059"	"2.30e+05"	C	"3.1427212"	"5.3732134"	2	4		
"555.7944"	"2.29e+05"	C	"3.1427212"	"5.3728582"	2	2		
"669.6018"	"1.00e+06"	C+	"3.1427212"	"4.9938210"	2	4		
"669.8667"	"1.00e+06"	C+	"3.1427212"	"4.9930889"	2	2		
"690.5638"	"1.08e+06"	D	"4.0214836"	"5.816394"	4	6		
"690.6279"	"7.69e+04"	E	"4.0216502"	"5.816394"	6	6		
"690.6279"	"1.15e+06"	C	"4.0216502"	"5.816394"	6	8		
"708.3969"	"1.54e+06"	C+	"4.0214836"	"5.7712093"	4	6		
"708.4643"	"1.10e+05"	E	"4.0216502"	"5.7712093"	6	6		
"708.4643"	"1.65e+06"	C+	"4.0216502"	"5.7712093"	6	8		
"732.7472"	"3.66e+05"	D	"4.0852554"	"5.776835"	2	4		
"733.5645"	"4.37e+05"	C	"4.0872183"	"5.776914"	4	6		
"733.5985"	"7.28e+04"	E	"4.0872183"	"5.776835"	4	4		
"736.1568"	"2.32e+06"	C+	"4.0214836"	"5.7052289"	4	6		
"736.2296"	"1.66e+05"	D	"4.0216502"	"5.7052289"	6	6		
"736.2296"	"2.49e+06"	C+	"4.0216502"	"5.7052289"	6	8		
"760.6162"	"4.36e+05"	D	"4.0852554"	"5.7148562"	2	4		
"761.4820"	"5.20e+05"	C	"4.0872183"	"5.7149663"	4	6		
"761.5335"	"8.68e+04"	E	"4.0872183"	"5.7148562"	4	4		
"783.5309"	"3.71e+06"	B	"4.0214836"	"5.6034263"	4	6		
"783.6134"	"2.65e+05"	C+	"4.0216502"	"5.6034263"	6	6		
"783.6134"	"3.97e+06"	B+	"4.0216502"	"5.6034263"	6	8		
"806.5969"	"4.42e+05"	C+	"4.0852554"	"5.6219600"	2	4		
"807.5353"	"5.28e+05"	C+	"4.0872183"	"5.6221371"	4	6		
"807.6285"	"8.81e+04"	C	"4.0872183"	"5.6219600"	4	4		
"877.2871"	"6.47e+06"	B+	"4.0214836"	"5.4343639"	4	6		
"877.3902"	"6.95e+06"	B+	"4.0216502"	"5.4343644"	6	8		
"877.3905"	"4.62e+05"	C+	"4.0216502"	"5.4343639"	6	6		
"882.8903"	"6.72e+05"	C	"4.0852554"	"5.4891689"	2	2		
"884.1265"	"1.34e+06"	C	"4.0872183"	"5.4891689"	4	2		
"891.2918"	"2.28e+05"	C+	"4.0852554"	"5.4759355"	2	4		
"892.3565"	"2.73e+05"	C+	"4.0872183"	"5.4762391"	4	6		
"892.5516"	"4.54e+04"	C	"4.0872183"	"5.4759355"	4	4		
