ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"300.0863"	"1.58e+08"	C	"1.8858075"	"6.0162208"	3	1		
"300.6861"	"7.5e+07"	C	"1.8989349"	"6.0211093"	5	5		
"300.9206"	"4.30e+07"	C	"1.8989349"	"6.0178983"	5	3		
"310.2363"	"6.2e+05"	D	"1.8793402"	"5.8746252"	1	3		
"310.7393"	"1.0e+06"	D	"1.8858075"	"5.8746252"	3	3		
"311.7654"	"1.7e+06"	D	"1.8989349"	"5.8746252"	5	3		
"313.6019"	"4.1e+06"	D	"1.8793402"	"5.8317487"	1	3		
"314.0786"	"4.9e+06"	D	"1.8858075"	"5.8322176"	3	5		
"314.1159"	"3.0e+06"	D	"1.8858075"	"5.8317487"	3	3		
"315.0749"	"8.6e+06"	D	"1.8989349"	"5.8328665"	5	7		
"315.1269"	"1.8e+06"	D	"1.8989349"	"5.8322176"	5	5		
"315.1644"	"2.2e+05"	E	"1.8989349"	"5.8317487"	5	3		
"316.4605"	"5.3e+05"	D	"1.8793402"	"5.7960484"	1	3		
"316.9839"	"2.0e+06"	D	"1.8858075"	"5.7960484"	3	3		
"318.0517"	"2.9e+06"	D	"1.8989349"	"5.7960484"	5	3		
"320.9957"	"7.3e+06"	D	"1.8793402"	"5.7407130"	1	3		
"321.5169"	"1.1e+07"	D	"1.8858075"	"5.7409208"	3	5		
"321.5342"	"5.1e+06"	D	"1.8858075"	"5.7407130"	3	3		
"322.5904"	"1.6e+07"	D	"1.8989349"	"5.7412196"	5	7		
"322.6155"	"4.0e+06"	D	"1.8989349"	"5.7409208"	5	5		
"322.6329"	"4.2e+05"	E	"1.8989349"	"5.7407130"	5	3		
"326.9085"	"9.4e+05"	D	"1.8793402"	"5.6708741"	1	3		
"327.4671"	"3.0e+06"	D	"1.8858075"	"5.6708741"	3	3		
"328.6068"	"5.3e+06"	D	"1.8989349"	"5.6708741"	5	3		
"334.4508"	"1.51e+07"	C	"1.8793402"	"5.5853732"	1	3		
"335.0203"	"1.78e+07"	C	"1.8858075"	"5.5855401"	3	5		
"335.0355"	"1.11e+07"	C	"1.8858075"	"5.5853732"	3	3		
"336.1912"	"2.23e+07"	C	"1.8989349"	"5.5857825"	5	7		
"336.2133"	"6.5e+06"	C	"1.8989349"	"5.5855401"	5	5		
"336.2286"	"5.9e+05"	C	"1.8989349"	"5.5853732"	5	3		
"346.8474"	"1.3e+06"	D	"1.8793402"	"5.4529201"	1	3		
"347.4763"	"4.6e+06"	D	"1.8858075"	"5.4529201"	3	3		
"348.7598"	"7.8e+06"	D	"1.8989349"	"5.4529201"	5	3		
"362.4112"	"2.12e+07"	C+	"1.8793402"	"5.2994568"	1	3		
"363.0752"	"2.97e+07"	C+	"1.8858075"	"5.2996694"	3	5		
"363.0978"	"1.53e+07"	C+	"1.8858075"	"5.2994568"	3	3		
"364.4413"	"3.55e+07"	C+	"1.8989349"	"5.3000005"	5	7		
"364.4768"	"9.4e+06"	C+	"1.8989349"	"5.2996694"	5	5		
"364.4996"	"9.5e+05"	C+	"1.8989349"	"5.2994568"	5	3		
"367.3418"	"2.2e+06"	D	"2.5212633"	"5.8954752"	3	5		
"367.5287"	"2.2e+06"	D	"2.5229867"	"5.8954822"	5	7		
"367.5295"	"3.8e+05"	D	"2.5229867"	"5.8954752"	5	5		
"367.8214"	"2.3e+06"	D	"2.5256821"	"5.8954946"	7	9		
"367.8227"	"2.6e+05"	D	"2.5256821"	"5.8954822"	7	7		
"367.8235"	"1.0e+04"	E	"2.5256821"	"5.8954752"	7	5		
"374.8349"	"3.4e+06"	D	"2.5212633"	"5.8280253"	3	5		
"375.0291"	"3.4e+06"	D	"2.5229867"	"5.8280359"	5	7		
"375.0303"	"6.2e+05"	D	"2.5229867"	"5.8280253"	5	5		
"375.3335"	"4.1e+06"	D	"2.5256821"	"5.8280508"	7	9		
"375.3352"	"4.4e+05"	D	"2.5256821"	"5.8280359"	7	7		
"375.3364"	"1.7e+04"	E	"2.5256821"	"5.8280253"	7	5		
"387.0477"	"7.2e+06"	D	"2.5212633"	"5.7236864"	3	5		
"387.2540"	"5.4e+06"	D	"2.5229867"	"5.7237039"	5	7		
"387.2561"	"9.8e+05"	D	"2.5229867"	"5.7236864"	5	5		
"387.5776"	"7.9e+06"	D	"2.5256821"	"5.7237269"	7	9		
"387.5804"	"8.9e+05"	D	"2.5256821"	"5.7237039"	7	7		
"387.5826"	"3.5e+04"	E	"2.5256821"	"5.7236864"	7	5		
"394.8900"	"3.34e+06"	C	"1.8793402"	"5.0181663"	1	3		
"395.7054"	"9.8e+06"	C	"1.8858075"	"5.0181663"	3	3		
"397.3708"	"1.75e+07"	C	"1.8989349"	"5.0181663"	5	3		
"409.2632"	"1.1e+07"	D	"2.5212633"	"5.5498576"	3	5		
"409.4925"	"1.2e+07"	D	"2.5229867"	"5.5498847"	5	7		
"409.4962"	"2.1e+06"	D	"2.5229867"	"5.5498576"	5	5		
"409.8528"	"1.3e+07"	D	"2.5256821"	"5.5499193"	7	9		
"409.8575"	"1.5e+06"	D	"2.5256821"	"5.5498847"	7	7		
"409.8612"	"5.8e+04"	E	"2.5256821"	"5.5498576"	7	5		
"410.8526"	"9.0e+07"	D	"2.7090094"	"5.7258877"	5	7		
"422.6728"	"2.18e+08"	B+	"0.0000000"	"2.9325120"	1	3		
"428.3011"	"4.34e+07"	C+	"1.8858075"	"4.7797840"	3	5		
"428.9367"	"6.0e+07"	C+	"1.8793402"	"4.7690284"	1	3		
"429.8988"	"4.66e+07"	C+	"1.8858075"	"4.7690284"	3	3		
"430.2528"	"1.36e+08"	C+	"1.8989349"	"4.7797840"	5	5		
"430.7744"	"1.99e+08"	C+	"1.8858075"	"4.7631683"	3	1		
"431.8652"	"7.4e+07"	C+	"1.8989349"	"4.7690284"	5	3		
"435.5079"	"1.9e+07"	D	"2.7090094"	"5.5550969"	5	7		
"442.5437"	"4.98e+07"	C	"1.8793402"	"4.6801799"	1	3		
"443.4957"	"6.7e+07"	C	"1.8858075"	"4.6806350"	3	5		
"443.5679"	"3.42e+07"	C	"1.8858075"	"4.6801799"	3	3		
"445.4779"	"8.7e+07"	C	"1.8989349"	"4.6813270"	5	7		
"445.5887"	"2.0e+07"	C	"1.8989349"	"4.6806350"	5	5		
"445.6616"	"2.45e+06"	C+	"1.8989349"	"4.6801799"	5	3		
"452.6928"	"4.1e+07"	D	"2.7090094"	"5.4470569"	5	3		
"457.8551"	"1.76e+07"	C	"2.5212633"	"5.2284402"	3	5		
"458.1395"	"2.09e+07"	C	"2.5229867"	"5.2284828"	5	7		
"458.1467"	"3.5e+06"	D	"2.5229867"	"5.2284402"	5	5		
"458.5865"	"2.29e+07"	C	"2.5256821"	"5.2285409"	7	9		
"458.5964"	"2.5e+06"	D	"2.5256821"	"5.2284828"	7	7		
"458.6036"	"9.8e+04"	E	"2.5256821"	"5.2284402"	7	5		
"468.5268"	"8.0e+06"	D	"2.9325120"	"5.5780280"	3	5		
"487.8126"	"1.88e+07"	C	"2.7090094"	"5.2499357"	5	7		
"504.1618"	"3.3e+07"	D	"2.7090094"	"5.1675384"	5	3		
"518.8844"	"4.0e+07"	D	"2.9325120"	"5.3212844"	3	5		
"526.0387"	"6.1e+05"	E	"2.5212633"	"4.8775483"	3	5		
"526.1704"	"1.5e+07"	D	"2.5212633"	"4.8769584"	3	3		
"526.2241"	"6.0e+07"	D	"2.5212633"	"4.8767178"	3	1		
"526.4237"	"9.1e+06"	D	"2.5229867"	"4.8775483"	5	5		
"526.5556"	"4.4e+07"	D	"2.5229867"	"4.8769584"	5	3		
"527.0270"	"5.0e+07"	D	"2.5256821"	"4.8775483"	7	5		
"551.2980"	"1.1e+08"	E	"2.9325120"	"5.1808379"	3	1		
"558.1965"	"6.0e+06"	D	"2.5229867"	"4.7435268"	5	7		
"558.8749"	"4.9e+07"	D	"2.5256821"	"4.7435268"	7	7		
"559.0114"	"8.3e+06"	D	"2.5212633"	"4.7385667"	3	5		
"559.4462"	"3.8e+07"	D	"2.5229867"	"4.7385667"	5	5		
"559.8480"	"4.3e+07"	D	"2.5212633"	"4.7352531"	3	3		
"560.1277"	"8.6e+06"	D	"2.5256821"	"4.7385667"	7	5		
"560.2842"	"1.4e+07"	D	"2.5229867"	"4.7352531"	5	3		
"585.7451"	"6.6e+07"	D	"2.9325120"	"5.0486176"	3	5		
"610.2723"	"9.6e+06"	C	"1.8793402"	"3.9103990"	1	3		
"612.2217"	"2.87e+07"	C	"1.8858075"	"3.9103990"	3	3		
"615.6023"	"2.3e+05"	E	"2.5212633"	"4.5347368"	3	5		
"616.1297"	"3.3e+06"	D	"2.5229867"	"4.5347368"	5	5		
"616.2173"	"4.77e+07"	C	"1.8989349"	"3.9103990"	5	3		
"616.3755"	"5.6e+06"	D	"2.5212633"	"4.5322113"	3	3		
"616.6439"	"2.2e+07"	D	"2.5212633"	"4.5313358"	3	1		
"616.9042"	"1.7e+07"	D	"2.5229867"	"4.5322113"	5	3		
"616.9563"	"1.9e+07"	D	"2.5256821"	"4.5347368"	7	5		
"643.9075"	"5.3e+07"	D	"2.5256821"	"4.4506470"	7	9		
"644.9808"	"9.0e+06"	D	"2.5212633"	"4.4430250"	3	5		
"645.5598"	"1.4e+06"	E	"2.5229867"	"4.4430250"	5	5		
"646.2567"	"4.7e+07"	D	"2.5229867"	"4.4409544"	5	7		
"647.1662"	"5.9e+06"	D	"2.5256821"	"4.4409544"	7	7		
"649.3781"	"4.4e+07"	D	"2.5212633"	"4.4300117"	3	5		
"649.9650"	"8.1e+06"	D	"2.5229867"	"4.4300117"	5	5		
"650.8850"	"2.4e+05"	E	"2.5256821"	"4.4300117"	7	5		
"657.2779"	"2.6e+03"	D+	"0.0000000"	"1.8858075"	1	3		
"671.7681"	"1.2e+07"	E	"2.7090094"	"4.5541398"	5	3		
