ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"300.088420"	"1.6e+08"	C	"1.00367492"	"5.13405969"	7	5		
"300.505869"	"9.2e+07"	C	"1.03000806"	"5.15465532"	9	7		
"301.371163"	"8.3e+07"	C	"0.96841324"	"5.08121834"	3	5		
"301.51968"	"1.63e+08"	B	"0.96097009"	"5.0717494"	1	3		
"302.06664"	"1.5e+08"	D	"0.96841324"	"5.0717494"	3	3		
"302.15582"	"2.91e+08"	B	"1.03000806"	"5.1321332"	9	11		
"302.434830"	"1.27e+08"	B	"0.98287742"	"5.08121834"	5	5		
"302.916096"	"3.8e+07"	E	"0.98287742"	"5.07470726"	5	3		
"303.02444"	"1.1e+08"	C	"1.00367492"	"5.0940418"	7	7		
"303.13523"	"3.1e+07"	E	"0.98287742"	"5.0717494"	5	3		
"303.418749"	"3.5e+07"	D	"1.00367492"	"5.08872640"	7	7		
"303.704458"	"5.4e+07"	C	"1.03000806"	"5.11121670"	9	9		
"304.084074"	"7.4e+07"	D	"1.00367492"	"5.07978882"	7	5		
"305.387423"	"7.97e+07"	B	"1.03000806"	"5.08872640"	9	7		
"314.84487"	"5.6e+07"	B	"2.96741996"	"6.9042255"	9	11		
"315.515386"	"5.7e+07"	B	"2.98256889"	"6.9110084"	11	13		
"316.06112"	"2.7e+06"	D	"2.98256889"	"6.9042255"	11	11		
"316.375954"	"6.0e+07"	B	"3.00044215"	"6.9181964"	13	15		
"316.957504"	"2.2e+06"	E	"3.00044215"	"6.9110084"	13	13		
"323.77226"	"1.3e+08"	D	"2.96741996"	"6.7956796"	9	9		
"323.8077"	"2.0e+07"	D	"2.98256889"	"6.810410"	11	11		
"335.196317"	"1.2e+05"	B	"0.00000000"	"3.69779039"	7	7		
"337.916991"	"9.9e+04"	C+	"0.00000000"	"3.66801930"	7	5		
"357.868618"	"1.48e+08"	B	"0.00000000"	"3.46352849"	7	9		
"359.348538"	"1.50e+08"	B	"0.00000000"	"3.44926489"	7	7		
"360.532884"	"1.62e+08"	B	"0.00000000"	"3.43793441"	7	5		
"361.564517"	"5.1e+04"	C	"0.00000000"	"3.42812540"	7	9		
"363.527853"	"1.5e+04"	C	"0.00000000"	"3.40961132"	7	7		
"363.97965"	"1.8e+08"	D	"2.54410014"	"5.9494793"	13	11		
"373.080190"	"1.6e+05"	C+	"0.00000000"	"3.32231395"	7	5		
"373.202825"	"1.6e+05"	C+	"0.00000000"	"3.32122225"	7	7		
"374.388144"	"7.61e+07"	B	"2.54410014"	"5.85480762"	13	13		
"374.44912"	"5.01e+06"	B	"2.54463928"	"5.85480762"	11	13		
