ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"300.045121"	"5.41e+06"	B+	"1.48486439"	"5.61584517"	9	11		
"300.094760"	"6.42e+07"	A	"0.08728574"	"4.21758325"	5	3		
"300.303050"	"7.50e+06"	C	"0.95815732"	"5.08559017"	7	5		
"300.41133"	"2.79e+06"	B	"2.43269470"	"6.5586399"	11	11		
"300.53026"	"2.94e+06"	C	"2.40407444"	"6.5283870"	13	15		
"300.714520"	"7.34e+06"	B+	"1.48486439"	"5.60664989"	9	7		
"300.728234"	"2.73e+06"	A	"0.08728574"	"4.20888328"	5	5		
"300.813796"	"1.07e+08"	A	"0.11011433"	"4.23053960"	3	1		
"300.909315"	"7.77e+06"	B+	"2.40407444"	"6.52319179"	13	11		
"300.956911"	"1.43e+07"	C+	"0.91460217"	"5.03306811"	9	9		
"301.14811"	"3.79e+07"	B+	"2.75857762"	"6.8744289"	7	9		
"301.417327"	"2.57e+05"	B	"0.95815732"	"5.07033256"	7	5		
"301.59186"	"6.3e+06"	D+	"2.43269470"	"6.5424903"	11	9		
"301.618458"	"8.85e+06"	D+	"0.99011115"	"5.09954435"	5	3		
"301.762704"	"6.81e+06"	A	"0.11011433"	"4.21758325"	3	3		
"301.898281"	"1.03e+07"	C+	"0.95815732"	"5.06378173"	7	7		
"301.92880"	"2.33e+06"	C+	"2.45343044"	"6.5586399"	9	11		
"302.049056"	"1.94e+07"	B	"0.08728574"	"4.19086081"	5	5		
"302.063878"	"7.59e+07"	B	"0.0000000"	"4.10337372"	9	9		
"302.107248"	"4.55e+07"	A	"0.05156912"	"4.15435379"	7	7		
"302.403247"	"4.87e+06"	A	"0.11011433"	"4.20888328"	3	5		
"302.527956"	"1.66e+05"	B	"0.91460217"	"5.01168158"	9	9		
"302.563620"	"5.86e+07"	B+	"2.40407444"	"6.50067093"	13	13		
"302.584226"	"3.48e+07"	A	"0.12126572"	"4.21758325"	1	3		
"302.646179"	"1.10e+07"	C	"0.99011115"	"5.08559017"	5	5		
"302.923379"	"6.98e+05"	B+	"1.55735733"	"5.64908881"	7	7		
"303.014796"	"5.04e+07"	B+	"2.43269470"	"6.52319179"	11	11		
"303.163654"	"1.38e+07"	D+	"1.01105568"	"5.09954435"	3	3		
"303.309963"	"5.26e+06"	C+	"2.42419831"	"6.51071489"	3	3		
"303.738855"	"2.91e+07"	B	"0.11011433"	"4.19086081"	3	5		
"303.777944"	"3.44e+05"	B	"0.99011115"	"5.07033256"	5	5		
"303.931730"	"1.60e+06"	C+	"2.43269470"	"6.51085164"	11	13		
"304.042694"	"2.45e+06"	D+	"0.91460217"	"4.99127081"	9	11		
"304.163715"	"4.24e+06"	B+	"1.55735733"	"5.63240401"	7	9		
"304.173858"	"5.20e+06"	D+	"0.95815732"	"5.03306811"	7	9		
"304.201950"	"4.70e+06"	D+	"1.01105568"	"5.08559017"	3	5		
"304.266466"	"5.20e+06"	C+	"0.99011115"	"5.06378173"	5	7		
"304.507830"	"6.97e+05"	B	"0.91460217"	"4.98504395"	9	7		
"304.558742"	"1.78e+06"	C+	"2.45343044"	"6.52319179"	9	11		
"304.760437"	"2.84e+07"	A	"0.08728574"	"4.15435379"	5	7		
"305.306552"	"1.53e+07"	B	"2.42419831"	"6.48399171"	3	5		
"305.345402"	"1.17e+05"	C+	"1.01105568"	"5.07033256"	3	5		
"305.526232"	"9.48e+06"	B+	"1.55735733"	"5.61423177"	7	5		
"305.744545"	"3.13e+07"	B	"0.85899575"	"4.91297355"	11	9		
"305.908538"	"1.63e+07"	C+	"0.05156912"	"4.10337372"	7	9		
"306.053751"	"6.75e+06"	D+	"2.99035244"	"7.04023466"	9	7		
"306.098321"	"9.08e+05"	B	"1.55735733"	"5.60664989"	7	7		
"306.647863"	"9.11e+06"	B	"2.72754450"	"6.76958063"	9	7		
