ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"309.10640"	"3.09e+07"	B	"2.7091049"	"6.7189932"	1	3		
"309.2982"	"2.08e+07"	C	"2.7115919"	"6.7189932"	3	3		
"309.29863"	"3.74e+07"	C	"2.7115919"	"6.7189881"	3	5		
"309.6884"	"1.38e+06"	D	"2.7166398"	"6.7189932"	5	3		
"309.6887"	"1.24e+07"	C	"2.7166398"	"6.7189881"	5	5		
"309.68911"	"4.96e+07"	C+	"2.7166398"	"6.7189834"	5	7		
"332.99194"	"3.09e+06"	D+	"2.7091049"	"6.4313736"	1	3		
"333.21458"	"1.02e+07"	B	"2.7115919"	"6.4313736"	3	3		
"333.66740"	"1.70e+07"	B	"2.7166398"	"6.4313736"	5	3		
"362.7628"	"5.62e+06"	C	"6.5878560"	"10.004658"	5	5		
"382.93547"	"8.99e+07"	B+	"2.7091049"	"5.9459174"	1	3		
"383.22993"	"6.74e+07"	B+	"2.7115919"	"5.9459174"	3	3		
"383.23039"	"1.21e+08"	B+	"2.7115919"	"5.9459136"	3	5		
"383.8290"	"4.48e+06"	B	"2.7166398"	"5.9459174"	5	3		
"383.82919"	"1.61e+08"	B+	"2.7166398"	"5.9459158"	5	7		
"383.82946"	"4.03e+07"	B+	"2.7166398"	"5.9459136"	5	5		
"389.0178"	"1.31e+08"	B	"7.167870"	"10.354075"	1	3		
"389.1906"	"1.77e+08"	B	"7.170428"	"10.355219"	3	5		
"389.3304"	"9.81e+07"	C+	"7.170428"	"10.354075"	3	3		
"389.5572"	"2.35e+08"	B+	"7.175454"	"10.357248"	5	7		
"389.8059"	"5.88e+07"	C+	"7.175454"	"10.355219"	5	5		
"389.9460"	"6.52e+06"	C	"7.175454"	"10.354075"	5	3		
"393.8400"	"5.47e+06"	D	"4.3458029"	"7.4929973"	3	5		
"398.67533"	"7.30e+06"	D	"4.3458029"	"7.4548275"	3	5		
"405.75052"	"1.02e+07"	C+	"4.3458029"	"7.4006157"	3	5		
"409.9787"	"1.71e+06"	D+	"6.9813495"	"10.004658"	5	5		
"416.72713"	"1.38e+07"	C+	"4.3458029"	"7.3201534"	3	5		
"435.19057"	"1.84e+07"	B+	"4.3458029"	"7.1939656"	3	5		
"440.9923"	"7.68e+05"	D+	"7.1939656"	"10.004658"	5	5		
"457.10956"	"2.54e+02"	D	"0.0000000"	"2.7115919"	1	3		
"457.5292"	"5.8e-04"	D	"0.0000000"	"2.7091049"	1	1		
"470.29908"	"2.19e+07"	B+	"4.3458029"	"6.9813495"	3	5		
"473.00286"	"1.34e+06"	C+	"4.3458029"	"6.9662844"	3	1		
"516.73213"	"1.13e+07"	B+	"2.7091049"	"5.1078270"	1	3		
"517.26844"	"3.37e+07"	B+	"2.7115919"	"5.1078270"	3	3		
"518.36043"	"5.61e+07"	A	"2.7166398"	"5.1078270"	5	3		
"552.84047"	"1.39e+07"	B+	"4.3458029"	"6.5878560"	3	5		
"571.10880"	"3.86e+06"	B	"4.3458029"	"6.5161391"	3	1		
"631.8717"	"2.63e+05"	D+	"5.1078270"	"7.0694581"	3	5		
"631.9237"	"2.64e+05"	D	"5.1078270"	"7.0692968"	3	3		
"631.9495"	"2.63e+05"	E	"5.1078270"	"7.0692167"	3	1		
"706.0414"	"8.51e+05"	D	"5.7532468"	"7.5088100"	5	7		
"719.3184"	"1.18e+06"	D	"5.7532468"	"7.4764062"	5	7		
"729.1055"	"6.27e+04"	C+	"5.3937259"	"7.0937549"	1	3		
