ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"300.7650"	"1.8e+07"	E	"3.134449"	"7.255543"	6	8		
"301.1163"	"1.1e+07"	E	"3.134994"	"7.251280"	10	10		
"301.1372"	"3.1e+07"	E	"3.135280"	"7.251280"	8	10		
"301.6453"	"2.9e+07"	E	"3.134994"	"7.244062"	10	12		
"304.1219"	"1.1e+07"	E	"3.135280"	"7.210888"	8	6		
"304.3138"	"1.4e+07"	E	"3.134994"	"7.208031"	10	8		
"304.3352"	"5.9e+07"	E	"3.135280"	"7.208031"	8	8		
"304.4578"	"5.7e+07"	E	"2.114215"	"6.185325"	10	8		
"304.5590"	"6.7e+07"	E	"3.134994"	"7.204752"	10	10		
"304.5804"	"1.7e+07"	E	"3.135280"	"7.204752"	8	10		
"304.6580"	"1.3e+07"	E	"4.331847"	"8.400282"	10	12		
"304.7028"	"6.1e+07"	D	"3.132553"	"7.200390"	12	12		
"304.8858"	"9.1e+06"	E	"3.134994"	"7.200390"	10	12		
"305.4366"	"4.6e+07"	E	"2.142695"	"6.200760"	8	6		
"306.2131"	"1.3e+07"	E	"2.163713"	"6.211488"	6	4		
"306.6028"	"1.6e+07"	E	"2.142695"	"6.185325"	8	8		
"307.0268"	"1.9e+07"	E	"2.163713"	"6.200760"	6	6		
"307.3141"	"3.7e+07"	E	"2.178214"	"6.211488"	4	4		
"307.9642"	"1.6e+07"	E	"2.186728"	"6.211488"	2	4		
"308.1337"	"3.0e+06"	E	"2.178214"	"6.200760"	4	6		
"308.2698"	"2.9e+07"	E	"4.232682"	"8.253452"	14	14		
"309.1141"	"7.9e+05"	E	"3.771551"	"7.781339"	6	6		
"309.3347"	"2.8e+06"	E	"4.246523"	"8.253452"	12	14		
"309.7753"	"5.6e+06"	E	"4.246523"	"8.247754"	12	10		
"309.8089"	"2.0e+06"	E	"3.372561"	"7.373358"	6	8		
"310.3281"	"6.3e+06"	E	"3.372561"	"7.366664"	6	4		
"310.6742"	"9.3e+06"	E	"4.258101"	"8.247754"	10	10		
"310.8635"	"5.5e+06"	E	"3.372561"	"7.359785"	6	6		
"311.0684"	"2.7e+07"	E	"3.372561"	"7.357159"	6	8		
"311.3133"	"5.1e+06"	E	"3.378321"	"7.359785"	4	6		
"311.3356"	"8.8e+06"	E	"4.258101"	"8.239279"	10	8		
"311.3791"	"2.6e+07"	E	"4.246523"	"8.227145"	12	10		
"311.4130"	"4.1e+06"	E	"3.382518"	"7.362707"	2	4		
"311.5471"	"1.4e+07"	E	"3.372561"	"7.351037"	6	8		
"311.5766"	"1.2e+07"	E	"3.771551"	"7.749650"	6	8		
