ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"381.8268"	"8.95e+05"	C+	"10.6796703"	"13.9258810"	2	4		
"382.2034"	"3.70e+06"	C+	"10.6796703"	"13.9226824"	2	2		
"383.0434"	"4.67e+06"	C+	"10.6899808"	"13.9258810"	4	4		
"383.4224"	"1.89e+06"	C+	"10.6899808"	"13.9226824"	4	2		
"388.7572"	"2.09e+06"	C	"10.6796703"	"13.8680121"	2	4		
"389.2205"	"2.50e+06"	C	"10.6899808"	"13.8745272"	4	6		
"390.0184"	"4.14e+05"	C	"10.6899808"	"13.8680121"	4	4		
"401.1135"	"5.75e+05"	C	"10.6796703"	"13.7697973"	2	2		
"402.4563"	"1.14e+06"	C	"10.6899808"	"13.7697973"	4	2		
"409.505"	"8.05e+04"	C+	"12.0001429"	"15.02695"	4	6		
"409.9943"	"3.48e+06"	C+	"10.6796703"	"13.7028638"	2	4		
"410.790"	"1.23e+06"	C+	"12.0096116"	"15.02695"	6	6		
"410.9949"	"3.90e+06"	C+	"10.6899808"	"13.7058146"	4	6		
"411.3974"	"6.62e+05"	C+	"10.6899808"	"13.7028638"	4	4		
"413.7640"	"2.80e+05"	C+	"10.3259087"	"13.3215593"	2	4		
"414.3430"	"6.09e+05"	C+	"10.3300944"	"13.3215593"	4	4		
"415.1481"	"1.01e+06"	C+	"10.3358956"	"13.3215593"	6	4		
"424.987"	"2.59e+06"	C	"12.0001429"	"14.91669"	4	2		
"425.016"	"2.24e+05"	C	"12.0001429"	"14.91649"	4	4		
"426.400"	"2.26e+06"	C	"12.0096116"	"14.91649"	6	4		
"427.328"	"8.28e+05"	C+	"12.1263787"	"15.02695"	4	6		
"427.813"	"5.01e+06"	C+	"12.0001429"	"14.89742"	4	4		
"427.917"	"3.61e+05"	C+	"12.0001429"	"14.89671"	4	6		
"429.216"	"5.57e+05"	C+	"12.0096116"	"14.89742"	6	4		
"429.321"	"5.21e+06"	C+	"12.0096116"	"14.89671"	6	6		
"435.629"	"5.10e+06"	C+	"12.0096116"	"14.85491"	6	8		
"438.554"	"8.84e+05"	C	"12.1219574"	"14.94828"	2	2		
"439.241"	"1.76e+06"	C	"12.1263787"	"14.94828"	4	2		
"443.511"	"2.99e+06"	C	"12.1219574"	"14.91669"	2	2		
"443.543"	"7.51e+05"	C	"12.1219574"	"14.91649"	2	4		
"444.214"	"1.41e+06"	C	"12.1263787"	"14.91669"	4	2		
"444.245"	"3.81e+06"	C	"12.1263787"	"14.91649"	4	4		
"446.590"	"2.04e+04"	C	"12.1219574"	"14.89742"	2	4		
"447.417"	"2.76e+04"	C	"12.1263787"	"14.89671"	4	6		
"465.1823"	"2.40e+05"	C+	"10.6796703"	"13.3442064"	2	4		
"466.0457"	"6.72e+05"	C+	"10.6796703"	"13.3392701"	2	2		
"466.291"	"1.51e+06"	C+	"12.1219574"	"14.78016"	2	4		
"466.9893"	"7.49e+05"	C+	"10.6899808"	"13.3442064"	4	4		
"467.068"	"1.80e+06"	C+	"12.1263787"	"14.78016"	4	6		
"467.068"	"3.02e+05"	C+	"12.1263787"	"14.78016"	4	4		
"467.8595"	"2.69e+05"	C+	"10.6899808"	"13.3392701"	4	2		
"491.4940"	"8.08e+05"	B	"10.6796703"	"13.2015647"	2	2		
"493.5117"	"1.76e+06"	B	"10.6899808"	"13.2015647"	4	2		
"519.9837"	"1.87e+06"	D+	"11.6026335"	"13.9863558"	2	2		
"520.1606"	"1.87e+06"	D+	"11.6026335"	"13.9855454"	2	4		
"528.1204"	"2.45e+05"	C	"10.9239080"	"13.2709052"	6	6		
"531.039"	"9.40e+04"	D+	"11.9955753"	"14.32967"	4	6		
"532.8617"	"2.05e+05"	D+	"10.9239080"	"13.2500220"	6	8		
"533.337"	"9.28e+04"	D+	"11.9955753"	"14.31962"	4	4		
"534.4049"	"6.10e+04"	D+	"10.9239080"	"13.2433051"	6	6		
"534.649"	"9.21e+04"	D+	"11.9955753"	"14.31391"	4	2		
"535.4388"	"1.01e+04"	D	"10.9239080"	"13.2388265"	6	4		
"535.6623"	"1.41e+05"	D+	"10.9293522"	"13.2433051"	4	6		
"536.7010"	"1.07e+05"	D+	"10.9293522"	"13.2388265"	4	4		
"537.2606"	"8.34e+04"	D+	"10.9317574"	"13.2388265"	2	4		
"537.2665"	"3.33e+04"	D	"10.9293522"	"13.2363957"	4	2		
"537.8273"	"1.66e+05"	D+	"10.9317574"	"13.2363957"	2	2		
"547.180"	"1.39e+05"	D+	"11.9955753"	"14.26082"	4	6		
"549.652"	"1.37e+05"	D+	"11.9955753"	"14.25063"	4	4		
"551.019"	"1.36e+05"	D+	"11.9955753"	"14.24504"	4	2		
"551.1696"	"1.29e+05"	C	"11.7500916"	"13.9989413"	2	4		
"551.309"	"2.57e+05"	C	"11.7500916"	"13.99837"	2	2		
"551.8102"	"1.20e+05"	C	"11.7528949"	"13.9991340"	4	6		
"551.8576"	"2.05e+05"	C	"11.7528949"	"13.9989413"	4	4		
"551.997"	"2.56e+05"	C	"11.7528949"	"13.99837"	4	2		
"552.9380"	"7.26e+04"	C	"11.7575319"	"13.9991896"	6	8		
"552.9517"	"2.92e+05"	C	"11.7575319"	"13.9991340"	6	6		
"552.9992"	"1.78e+05"	C	"11.7575319"	"13.9989413"	6	4		
"554.5000"	"4.33e+05"	C	"11.7638464"	"13.9991896"	8	8		
"554.5138"	"9.59e+04"	C	"11.7638464"	"13.9991340"	8	6		
"555.7383"	"9.94e+05"	C	"11.7500916"	"13.9804540"	2	4		
"556.0337"	"1.42e+06"	C	"11.7638464"	"13.9930238"	8	10		
"556.4265"	"1.06e+06"	C	"11.7528949"	"13.9804985"	4	6		
"556.4265"	"1.21e+06"	C	"11.7575319"	"13.9851355"	6	8		
