ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"243.376496"	"3.87e+03"	C+'	"0.000000000"	"5.09279242"	2	4		
"243.376703"	"3.87e+03"	C+'	"0.000000000"	"5.09278808"	2	2		
"243.659344"	"4.64e+03"	C+'	"0.000000000"	"5.08688097"	2	4		
"243.659599"	"4.64e+03"	C+'	"0.000000000"	"5.08687564"	2	2		
"244.000936"	"5.6e+03"	C+'	"0.000000000"	"5.07976007"	2	4		
"244.001245"	"5.6e+03"	C+'	"0.000000000"	"5.07975362"	2	2		
"244.418818"	"6.8e+03"	C+'	"0.000000000"	"5.07107584"	2	4		
"244.419195"	"6.8e+03"	C+'	"0.000000000"	"5.07106803"	2	2		
"244.937663"	"8.6e+03"	C+'	"0.000000000"	"5.06033472"	2	4		
"244.938137"	"8.6e+03"	C+'	"0.000000000"	"5.06032492"	2	2		
"245.593045"	"1.12e+04"	C+'	"0.000000000"	"5.04683185"	2	4		
"245.593648"	"1.12e+04"	C+'	"0.000000000"	"5.04681945"	2	2		
"246.437851"	"1.44e+04"	C+'	"0.000000000"	"5.02953221"	2	4		
"246.438640"	"1.44e+04"	C+'	"0.000000000"	"5.02951609"	2	2		
"247.553565"	"1.94e+04"	C+'	"0.000000000"	"5.00686591"	2	4		
"247.554619"	"1.94e+04"	C+'	"0.000000000"	"5.00684459"	2	2		
"249.071261"	"1.89e+04"	D+	"0.000000000"	"4.97635910"	2	4		
"249.072707"	"1.89e+04"	D+	"0.000000000"	"4.97633022"	2	2		
"251.213407"	"3.20e+04"	D+	"0.000000000"	"4.93392762"	2	4		
"251.215497"	"3.10e+04"	C	"0.000000000"	"4.93388658"	2	2		
"254.38405"	"4.46e+04"	C+	"0.000000000"	"4.8724352"	2	4		
"254.38722"	"4.35e+04"	C+	"0.000000000"	"4.8723744"	2	2		
"259.38685"	"8.13e+04"	B	"0.000000000"	"4.7784663"	2	4		
"259.39190"	"7.96e+04"	C+	"0.000000000"	"4.7783733"	2	2		
"268.03407"	"1.84e+05"	B+	"0.000000000"	"4.6243143"	2	4		
"268.04334"	"1.81e+05"	B	"0.000000000"	"4.6241543"	2	2		
"285.28110"	"5.38e+05"	B+	"0.000000000"	"4.3447597"	2	4		
"285.30121"	"5.31e+05"	B+	"0.000000000"	"4.3444534"	2	2		
"330.23686"	"2.75e+06"	A	"0.000000000"	"3.7533216"	2	4		
"330.29785"	"2.73e+06"	B+	"0.000000000"	"3.7526285"	2	2		
"341.607"	"1.5e+07"	D	"32.7002"	"36.3286"	4	4		
"342.736"	"2.8e+07"	D	"32.7002"	"36.3167"	4	6		
"348.890"	"4.2e+07"	D	"32.7002"	"36.2529"	4	6		
"350.237"	"8.8e+07"	D	"32.7002"	"36.2392"	4	4		
"351.093"	"1.15e+08"	D	"32.7002"	"36.2306"	4	2		
"384.802"	"2.8e+07"	D	"33.0956"	"36.3167"	6	6		
