ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"202.643"	"2.82e+05"	C	"10.9887923"	"17.10517"	3	5		
"202.643"	"1.05e+05"	D	"10.9887923"	"17.10517"	3	3		
"202.646"	"1.92e+05"	D	"10.9888811"	"17.10517"	1	3		
"202.646"	"3.70e+05"	C	"10.9888616"	"17.10517"	5	7		
"202.646"	"4.85e+04"	D	"10.9888616"	"17.10517"	5	5		
"228.854"	"1.35e+05"	D	"12.3588649"	"17.77480"	3	5		
"228.854"	"2.48e+04"	D	"12.3588649"	"17.77480"	3	3		
"228.855"	"1.67e+05"	D	"12.3588750"	"17.77480"	5	7		
"228.856"	"8.29e+04"	D	"12.3589072"	"17.77480"	1	3		
"232.4738"	"4.61e+00"	C	"4.1897463"	"9.5213638"	1	3		
"241.7413"	"2.98e+05"	D	"10.9887923"	"16.1160306"	3	1		
"241.7715"	"7.45e+04"	D	"10.9887923"	"16.1153897"	3	3		
"241.7748"	"1.24e+05"	D	"10.9888616"	"16.1153897"	5	3		
"241.7757"	"9.93e+04"	D	"10.9888811"	"16.1153897"	1	3		
"241.8264"	"7.44e+04"	D	"10.9887923"	"16.1142263"	3	5		
"241.8297"	"2.23e+05"	C	"10.9888616"	"16.1142263"	5	5		
"243.200"	"3.71e+05"	C	"10.9887923"	"16.08529"	3	3		
"243.203"	"6.19e+05"	C	"10.9888616"	"16.08529"	5	3		
"243.204"	"1.23e+05"	D	"10.9888811"	"16.08529"	1	3		
"243.399"	"1.28e+05"	D	"10.9887923"	"16.08112"	3	3		
"243.403"	"1.70e+05"	C	"10.9888811"	"16.08112"	1	3		
"243.431"	"2.32e+05"	C	"10.9887923"	"16.08044"	3	5		
"243.435"	"7.70e+04"	D	"10.9888616"	"16.08044"	5	5		
"243.465"	"3.13e+05"	C	"10.9888616"	"16.07980"	5	7		
"261.145"	"1.48e+05"	C	"12.3588750"	"17.10517"	5	7		
