ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"315.8869"	"3.1e+08"	C	"3.123349"	"7.047169"	2	4		
"317.9331"	"3.6e+08"	C	"3.150984"	"7.049551"	4	6		
"318.1275"	"5.8e+07"	C	"3.150984"	"7.047169"	4	4		
"370.6024"	"8.8e+07"	C	"3.123349"	"6.467875"	2	2		
"373.6902"	"1.7e+08"	C	"3.150984"	"6.467875"	4	2		
"393.3663"	"1.47e+08"	C	"0.000000"	"3.150984"	2	4		
"396.8469"	"1.4e+08"	C	"0.000000"	"3.123349"	2	2		
"409.7098"	"9.9e+06"	D	"7.505138"	"10.530431"	2	4		
"410.9815"	"1.2e+07"	D	"7.514841"	"10.530773"	4	6		
"411.0282"	"1.9e+06"	D	"7.514841"	"10.530431"	4	4		
"420.6176"	"4.3e+06"	D	"7.505138"	"10.451978"	2	2		
"422.0071"	"8.5e+06"	D	"7.514841"	"10.451978"	4	2		
"500.1479"	"2.0e+07"	D	"7.505138"	"9.983397"	2	4		
"501.9971"	"2.3e+07"	D	"7.514841"	"9.983971"	4	6		
"502.1138"	"3.9e+06"	D	"7.514841"	"9.983397"	4	4		
"528.5266"	"7.8e+06"	D	"7.505138"	"9.850331"	2	2		
"530.7224"	"1.5e+07"	D	"7.514841"	"9.850331"	4	2		
"820.172"	"5.1e+07"	C	"7.505138"	"9.016407"	2	4		
"824.880"	"6.1e+07"	C	"7.514841"	"9.017486"	4	6		
"825.472"	"1.0e+07"	C	"7.514841"	"9.016407"	4	4		
"849.802"	"1.11e+06"	C	"1.692408"	"3.150984"	4	4		
"854.209"	"9.9e+06"	C	"1.699932"	"3.150984"	6	4		
"866.214"	"1.06e+07"	C	"1.692408"	"3.123349"	4	2		
"985.476"	"1.9e+07"	D	"7.505138"	"8.762908"	2	2		
"993.137"	"3.8e+07"	D	"7.514841"	"8.762908"	4	2		
